year,month,proportion_baseline_extent
2003,8,0.8625560830746257
2004,8,0.8524787809673783
2005,8,0.7836185537894722
2006,8,0.8078048811798361
2007,8,0.6643798394050328
2008,8,0.7353582256245895
2009,8,0.7630507480952616
2010,8,0.73061242610513355
2011,8,0.6842937437284307
2012,8,0.587395990902614
2013,8,0.7478505499725068
2014,8,0.7558538213514712
2015,8,0.6962685633104901
2016,8,0.6678900461501925
2017,8,0.6815818582887415
2018,8,0.6982663724065925
2019,8,0.6250815705186495
2020,8,0.6305133647277311
2021,8,0.7155606595818883
1978,9,NA
1979,9,1
1980,9,1.0873523877958153
1981,9,1.01238571577146
1982,9,1.0355403859426853
1983,9,1.0487108455378331
1984,9,0.9651214461977744
1985,9,0.9498709427326103
1986,9,1.0509894390499872
1987,9,1.0322737715922736
1988,9,1.0450802235101686
1989,9,0.9939300537974983
1990,9,0.8711791012319533
1991,9,0.9179942704246126
1992,9,1.059928900318625
1993,9,0.9071827696729603
1994,9,1.0122628040882315
1995,9,0.862291641060066
1996,9,1.0753637713086313
1997,9,0.9482636361057797
1998,9,0.9269479138105458
1999,9,0.8675012054799701
2000,9,0.8858245010258398
2001,9,0.9547637731995803
2002,9,0.826410884302287
2003,9,0.8673924759140375
2004,9,0.8487288095530742
2005,9,0.7805506443408624
2006,9,0.8314171717076215
2007,9,0.605188763981204
2008,9,0.6647772934847352
2009,9,0.7462110109958683
2010,9,0.6899694611740902
2011,9,0.6468936435750282
2012,9,0.5056775742906577
2013,9,0.7386424877324685
2014,9,0.7402970680836177
2015,9,0.6546134427562472
2016,9,0.642237181729651
2017,9,0.6838475138748381
2018,9,0.6786474041997976
2019,9,0.6188934166611514
2020,9,0.5673603297815009
2021,9,0.6903797971011753
1978,10,1.1891564916492223
1979,10,1
1980,10,1.0497045732208308
1981,10,1.012383395133615
1982,10,1.07694670886709
1983,10,1.0670019838009437
1984,10,0.9785849521672966
1985,10,0.9769088427986599
1986,10,1.0841336410249083
1987,10,1.0343894424884024
1988,10,1.0442498312390227
1989,10,1.009255407438205
1990,10,0.9699355401054214
1991,10,0.9763923616096606
1992,10,1.0653386731480718
1993,10,1.0043657756194606
1994,10,1.0191305462093947
1995,10,0.8949464355307715
1996,10,1.047214585373465
1997,10,0.952973016450652
1998,10,0.9661558473345216
1999,10,0.9834096838955358
2000,10,0.9578737107848234
2001,10,0.9485996353518352
2002,10,0.9330088636100169
2003,10,0.8971589386161762
2004,10,0.9059610133909446
2005,10,0.8404229844961152
2006,10,0.8620428271456615
2007,10,0.6904152753056769
2008,10,0.840183296661863
2009,10,0.7910804781864481
2010,10,0.7983485508220026
2011,10,0.7389797180303099
2012,10,0.672829563281852
2013,10,0.8521824383950412
2014,10,0.8267607779437413
2015,10,0.7963277980039997
2016,10,0.6952090319907205
2017,10,0.7735685162654701
2018,10,0.7012049153521671
2019,10,0.6555720392156954
2020,10,0.6097437253066794
2021,10,NA
1978,11,1.0641562998793757
1979,11,1
1980,11,1.040189831004106
1981,11,0.9987145589901673
1982,11,1.0625418834452256
1983,11,1.0473298161392905
1984,11,0.9907216746067524
1985,11,1.0074445920095525
1986,11,1.046623128190757
1987,11,1.0256753134404737
1988,11,1.0354349176952224
1989,11,1.0157329450611041
1990,11,1.0120746164999452
1991,11,0.9946571954235863
1992,11,1.0398060263424025
1993,11,1.034329194741267
1994,11,1.0164609554908435
1995,11,0.9833501882470483
1996,11,0.9505287975339027
1997,11,0.976341184067842
1998,11,0.9540835597577766
1999,11,0.986603389665298
2000,11,0.9431634033116859
2001,11,0.9739347897603352
2002,11,0.9450611041389981
2003,11,0.9252738415800568
2004,11,0.9451890390262327
2005,11,0.9335896092503015
2006,11,0.8826349713060325
2007,11,0.8919041584930488
2008,11,0.9451524862013085
2009,11,0.8929611443471056
2010,11,0.878544100983271
2011,11,0.8929672364845931
2012,11,0.8578917549011247
2013,11,0.9082493633716325
2014,11,0.924293007444592
2015,11,0.8997630158517418
2016,11,0.7911706651395708
2017,11,0.86747468716874
2018,11,0.8976581823498592
2019,11,0.8546811984452864
2020,11,0.8210830602025027
2021,11,NA
1978,12,1.0248042305692748
1979,12,1
1980,12,1.019245765931495
1981,12,1.000364294855132
1982,12,1.022909959808842
1983,12,0.9971634365439603
1984,12,0.973993533922537
1985,12,0.9785297234608387
1986,12,0.991464690268141
1987,12,0.9403306272620023
1988,12,1.0216913569337327
1989,12,1.003789650147935
1990,12,0.9826999350465478
1991,12,0.9706687109481075
1992,12,1.0053328590290782
1993,12,0.9987028660146381
1994,12,0.9951713848759725
1995,12,0.9688497562794249
1996,12,0.9643821907567431
1997,12,0.9804988063916261
1998,12,0.956687915755308
1999,12,0.9478809823129234
2000,12,0.947585885943802
2001,12,0.9365995932507751
2002,12,0.9454258772747415
2003,12,0.9439189507340644
2004,12,0.9413114598659262
2005,12,0.9168692565055042
2006,12,0.8964035976601277
2007,12,0.902349063851114
2008,12,0.9266824201901388
2009,12,0.9147890689854683
2010,12,0.8871177373235952
2011,12,0.9113180584142455
2012,12,0.9002809704445668
2013,12,0.9136183587997737
2014,12,0.9262397756364567
2015,12,0.9031593694548489
2016,12,0.8592674127820912
2017,12,0.880507094890737
2018,12,0.8894156188864256
2019,12,0.8925359001664794
2020,12,0.8795153775846734
2021,12,NA
