yrbp,co2
247694,214.7
250146,200.2
251018,213.9
251877,195.4
252752,196.7
253649,195.4
255511,199
256322,201.9
257113,204
258674,203.9
260366,209.6
260929,205.7
262105,208.9
262943,214.6
264522,228.1
265666,199.9
266339,211.7
267455,188.7
268194,187.2
269167,194.2
270235,198.8
271269,184.7
272324,190.4
273323,193.9
274334,194.1
275363,198.4
276339,193.2
277374,202.2
278363,204.5
279333,211
280282,215.3
281771,223.7
283798,231.3
285393,228
286141,226.4
287049,231.4
287551,230.4
288246,231
290166,234.9
290743,220.4
291380,217.1
292418,207.6
293070,206
293792,206.7
294581,212.7
295943,213.1
297934,217.1
298754,224.4
299634,231
300485,236.1
301415,239
302293,236
303239,240.2
304245,240.7
304914,250.2
305668,248.6
306560,244.8
307508,225.8
308757,227.8
309402,226.2
310181,233.2
311026,237.8
311881,239
312689,241.9
313427,251.6
314157,256.7
314880,257.1
315585,246.8
316213,272.6
316910,251.6
317747,245.2
318572,233.4
319493,255.8
320371,249.2
322028,257.2
322780,260.4
323539,260.3
324293,260.5
324984,266.2
325733,264
326334,266.1
326985,270.1
327603,271.9
328234,275.1
329488,265
330221,271.7
330753,272.6
331451,273.1
331957,282.4
332298,289.1
332475,288.4
332932,298.6
333393,278.1
333903,285.8
334274,278.6
334761,270.5
335300,255.7
335931,241.9
336738,239.6
337404,234.2
339311,250.1
340469,200.7
341815,205.2
343295,204.8
344459,211.9
345993,220.3
348311,221.1
349701,216.2
350938,209.4
352288,209.2
355315,193
356911,186.1
358725,185.8
360970,201.2
363398,206.3
366248,201.9
367869,199.9
369459,214.7
371103,224.6
372659,229.6
376581,227
378109,240
379709,239.1
381145,246.8
382683,245.8
384547,258.1
385411,264.6
386157,259.2
388075,255.2
389959,250.1
391909,266.3
392557,259.5
393592,273.6
394573,260.7
398099,276.3
399735,277.1
400517,283.2
402013,283.1
402744,275.7
404194,276.5
404940,280.5
406381,279.6
407106,285.6
408613,284.5
409396,275.2
409396,274.2
410219,282.6
411084,283.5
412975,274.9
413961,264.9
414976,271.6
415730,276.4
416206,271.7
417204,273.4
417711,271.8
418258,274.6
419273,273.7
419821,271.2
420363,273.8
421497,268.6
422087,266.4
422662,270.6
423777,267.7
424345,268.3
424853,270.8
425255,270
425582,265.4
425988,255.3
426611,252.1
427298,248.2
427579,242.5
429019,219.7
429889,227.2
431076,211.5
431458,207.6
432612,209.8
433687,207.5
434817,200.3
436002,201.7
437165,201.3
438369,202
439578,199.1
441233,201.1
442424,203.5
443575,208.1
444663,201.7
445842,201.2
446997,204.9
448116,201.9
449257,198.4
450468,193.3
451606,192.5
452296,199.1
452808,204.3
453527,203.3
454036,208.3
455292,202.4
456604,195.5
458062,190.7
459443,194.4
460805,199.9
461700,205.2
462146,210
463469,208.1
464879,204.4
466278,203.4
467615,205.5
468336,206.5
468823,215.5
469483,218.7
469954,229.2
470610,232.7
471059,243.7
471776,243.9
472108,245.6
473115,241.2
474175,233.1
475231,232.8
476253,236.6
477175,239.1
477732,236.5
478137,231.3
478734,220.8
479157,218.8
480121,223.8
481048,223.4
481945,227.3
482816,231.4
483662,231.4
484478,231.2
485289,233
486056,232.9
486829,231.3
487554,237.1
488281,242
488702,240.9
489009,252.8
489488,249.3
489735,242.6
490458,243.3
491204,246.7
491972,243.7
492751,239.7
493520,239.1
494324,238.3
495098,238.5
495866,237.6
496621,236.4
497379,236.5
498117,232.8
498878,230.6
499623,230.8
500376,228.2
501143,230.8
501879,231.2
502638,232
503388,232.2
504096,234.1
504790,233.9
505529,235.5
506300,236
507024,238.2
507727,237
508489,240.3
509260,233.4
510021,236.4
510778,235.2
511528,242
512282,238.2
513010,239.2
513737,241.5
514442,243
515126,247.2
515784,246.2
516430,245.5
517082,245.3
517719,247.7
518347,245.5
518978,243.5
520905,241.9
521565,236.8
522229,235.8
522936,233.7
523679,230.3
524422,227.8
525177,224.7
525921,222.7
526674,221.2
527467,220.3
528275,220.7
528760,214.5
529114,211.4
529653,204.4
530029,200
530698,195.1
531048,193.8
531675,190.5
532132,199.8
533259,199.4
534377,205
535496,206.4
536635,212.9
537783,211.2
538972,205
540167,203.6
541358,208.1
542515,210.3
543689,209.6
544817,209.7
545969,204.6
547026,202.5
547586,208.8
547985,213.6
548946,215.2
549843,219.9
550650,221.7
551137,222.3
551465,226.3
551992,222.1
552263,220.3
552974,223.6
553639,224.3
554267,226.7
554844,233.9
555358,241
555650,243
555852,249.1
556156,244
556377,250.5
556737,245.6
556902,240.4
557398,238.1
557900,234.5
558196,229.7
558406,230.2
558942,230.3
559474,228.3
559985,231.6
560472,231.9
560943,234.6
561322,234.1
561859,240.1
562285,242.3
562703,245.7
563128,245.8
563530,247.6
563931,251.4
564324,252.4
564712,252.6
565090,251.4
565479,253.7
565864,254.3
566246,253.9
566632,254.5
567020,253.2
567394,253.9
567790,252.8
568180,253
568569,250.2
568959,251.3
569344,250
569741,251.3
570152,251.8
570561,251.8
570968,249.6
571380,251.6
571788,250.3
572203,246.3
572632,247.7
573050,249.2
573475,248.7
573915,251.8
574366,251.9
574816,252.1
575278,248.9
575743,252.5
576235,252.9
576736,251.3
577255,251.3
577782,251.1
578318,249.1
578870,252.9
579448,251.5
579834,244.1
580032,243.8
580413,236.2
580708,230.3
581173,225.2
581520,219.4
582013,215.4
582404,209.9
583047,206.7
583426,210.6
586419,224
586906,226
587660,234.4
588047,238.8
588729,246.3
589237,250.2
589881,248.1
590348,243.6
590906,237.4
592292,225.7
592710,229.4
593428,233.2
593883,238.1
594652,238
595202,232.9
595963,221.2
596528,216.4
597456,216.3
597979,219
598846,226
599447,229.4
600895,232.5
602291,237.9
603686,239.1
605089,244.5
606387,248.5
607721,254.6
608942,259.2
610149,257.7
611332,259.6
612527,258
613722,256
614936,252.5
616240,252.4
617557,252.3
618968,247.9
620351,245.4
621773,243
623227,238.6
624703,237.3
625583,234.3
626228,227.8
627224,214.9
628012,205
629459,198.7
630308,199.9
632014,199.5
632869,195.6
634605,192.1
635502,193.9
636970,193
638140,194.3
639861,187.7
640773,189.1
642418,190.2
643217,190.4
644675,194.1
645483,194.6
646736,188.6
647601,190.5
648959,192.1
649611,194.8
650904,187.8
651569,192
652815,185.8
653461,185.3
654486,191.3
655215,193.2
656299,198.4
656895,198.7
657936,191.3
658487,189.2
659537,182.4
660097,183.9
660994,186.6
661663,189.8
662682,187.8
663219,189
664205,189.1
664703,185.8
665658,178.2
666187,178.5
667008,172.7
667582,171.6
668460,175.6
668947,178.5
669764,185.5
670189,189.3
670929,192.6
671299,194.6
671939,192.5
672399,194.8
673108,198.7
673488,202.3
674186,209.2
674534,213.7
675602,220
676183,217.4
676537,214
677081,215.6
677393,217.4
677997,226.5
678304,230
678927,230.8
679265,230.3
679745,223
680094,225
680621,218.4
680933,216.2
681544,217.3
681862,219.7
682459,222.6
682775,221.3
683275,218.7
683625,217.5
684155,217.5
684432,219.4
684962,219.5
685230,219.7
685729,223.5
685993,224.4
686438,224.3
686739,227.3
