year,ethnicity,legislation_type,geography,stops,population,rate
2016/17,Asian,All,Gloucestershire,40,10522,3.8
2017/18,Asian,All,Gloucestershire,38,10522,3.61
2018/19,Asian,All,Gloucestershire,31,10522,2.9499999999999997
2019/20,Asian,All,Gloucestershire,39,12433,3.14
2006/07,Asian,All,Greater Manchester,3999,246094,16.25
2007/08,Asian,All,Greater Manchester,4429,246094,18
2008/09,Asian,All,Greater Manchester,4801,246094,19.51
2009/10,Asian,All,Greater Manchester,4009,246094,16.29
2010/11,Asian,All,Greater Manchester,5268,246094,21.41
2011/12,Asian,All,Greater Manchester,4857,246094,19.74
2012/13,Asian,All,Greater Manchester,3438,246094,13.97
2013/14,Asian,All,Greater Manchester,3004,246094,12.209999999999999
2014/15,Asian,All,Greater Manchester,1522,246094,6.18
2015/16,Asian,All,Greater Manchester,602,246094,2.4499999999999997
2016/17,Asian,All,Greater Manchester,363,246094,1.48
2017/18,Asian,All,Greater Manchester,363,246094,1.48
2018/19,Asian,All,Greater Manchester,562,246094,2.2800000000000002
2019/20,Asian,All,Greater Manchester,348,272173,1.28
2006/07,Asian,All,Gwent,149,10076,14.79
2007/08,Asian,All,Gwent,193,10076,19.150000000000002
2008/09,Asian,All,Gwent,178,10076,17.67
2009/10,Asian,All,Gwent,517,10076,51.309999999999995
2010/11,Asian,All,Gwent,425,10076,42.18
2011/12,Asian,All,Gwent,372,10076,36.92
2012/13,Asian,All,Gwent,312,10076,30.959999999999997
2013/14,Asian,All,Gwent,110,10076,10.92
2014/15,Asian,All,Gwent,63,10076,6.25
2015/16,Asian,All,Gwent,26,10076,2.58
2016/17,Asian,All,Gwent,54,10076,5.359999999999999
2017/18,Asian,All,Gwent,28,10076,2.7800000000000002
2018/19,Asian,All,Gwent,141,10076,13.99
2019/20,Asian,All,Gwent,202,11694,17.27
2006/07,Asian,All,Hampshire,413,57352,7.2
2007/08,Asian,All,Hampshire,752,57352,13.11
2008/09,Asian,All,Hampshire,762,57352,13.29
2009/10,Asian,All,Hampshire,593,57352,10.34
2010/11,Asian,All,Hampshire,805,57352,14.04
2011/12,Asian,All,Hampshire,919,57352,16.02
2012/13,Asian,All,Hampshire,809,57352,14.11
2013/14,Asian,All,Hampshire,706,57352,12.31
2014/15,Asian,All,Hampshire,450,57352,7.85
2015/16,Asian,All,Hampshire,310,57352,5.41
2016/17,Asian,All,Hampshire,218,57352,3.8
2017/18,Asian,All,Hampshire,237,57352,4.13
2018/19,Asian,All,Hampshire,256,57352,4.46
2019/20,Asian,All,Hampshire,410,69236,5.92
2006/07,Asian,All,Hertfordshire,602,64119,9.39
2007/08,Asian,All,Hertfordshire,741,64119,11.56
2008/09,Asian,All,Hertfordshire,1413,64119,22.04
2009/10,Asian,All,Hertfordshire,907,64119,14.15
2010/11,Asian,All,Hertfordshire,813,64119,12.68
2011/12,Asian,All,Hertfordshire,567,64119,8.84
2012/13,Asian,All,Hertfordshire,1011,64119,15.77
2013/14,Asian,All,Hertfordshire,1586,64119,24.74
2014/15,Asian,All,Hertfordshire,759,64119,11.84
2015/16,Asian,All,Hertfordshire,582,64119,9.08
2016/17,Asian,All,Hertfordshire,459,64119,7.159999999999999
2017/18,Asian,All,Hertfordshire,460,64119,7.17
2018/19,Asian,All,Hertfordshire,357,64119,5.57
2019/20,Asian,All,Hertfordshire,450,72581,6.2
2006/07,Asian,All,Humberside,113,12191,9.27
2007/08,Asian,All,Humberside,127,12191,10.42
2008/09,Asian,All,Humberside,179,12191,14.68
2009/10,Asian,All,Humberside,168,12191,13.78
2010/11,Asian,All,Humberside,151,12191,12.39
2011/12,Asian,All,Humberside,225,12191,18.459999999999997
2012/13,Asian,All,Humberside,174,12191,14.27
2013/14,Asian,All,Humberside,125,12191,10.25
2014/15,Asian,All,Humberside,89,12191,7.3
2015/16,Asian,All,Humberside,7,12191,0.5700000000000001
2016/17,Asian,All,Humberside,16,12191,1.31
2017/18,Asian,All,Humberside,26,12191,2.13
2018/19,Asian,All,Humberside,27,12191,2.21
2019/20,Asian,All,Humberside,70,16110,4.35
2006/07,Asian,All,Kent,284,54186,5.24
2007/08,Asian,All,Kent,440,54186,8.12
2008/09,Asian,All,Kent,423,54186,7.81
2009/10,Asian,All,Kent,475,54186,8.77
2010/11,Asian,All,Kent,292,54186,5.39
2011/12,Asian,All,Kent,177,54186,3.27
2012/13,Asian,All,Kent,170,54186,3.14
2013/14,Asian,All,Kent,248,54186,4.58
2014/15,Asian,All,Kent,227,54186,4.1899999999999995
2015/16,Asian,All,Kent,164,54186,3.03
2016/17,Asian,All,Kent,274,54186,5.06
2017/18,Asian,All,Kent,244,54186,4.5
2018/19,Asian,All,Kent,262,54186,4.84
2019/20,Asian,All,Kent,253,61229,4.13
2006/07,Asian,All,Lancashire,1309,108784,12.03
2007/08,Asian,All,Lancashire,1653,108784,15.2
2008/09,Asian,All,Lancashire,1800,108784,16.55
2009/10,Asian,All,Lancashire,2268,108784,20.85
2010/11,Asian,All,Lancashire,2580,108784,23.72
2011/12,Asian,All,Lancashire,1809,108784,16.630000000000003
2012/13,Asian,All,Lancashire,1324,108784,12.17
2013/14,Asian,All,Lancashire,1203,108784,11.06
2014/15,Asian,All,Lancashire,638,108784,5.859999999999999
2015/16,Asian,All,Lancashire,541,108784,4.970000000000001
2016/17,Asian,All,Lancashire,273,108784,2.51
2017/18,Asian,All,Lancashire,341,108784,3.13
2018/19,Asian,All,Lancashire,420,108784,3.86
2019/20,Asian,All,Lancashire,1000,114830,8.709999999999999
2006/07,Asian,All,Leicestershire,3048,155740,19.57
2007/08,Asian,All,Leicestershire,3170,155740,20.35
2008/09,Asian,All,Leicestershire,3095,155740,19.87
2009/10,Asian,All,Leicestershire,3904,155740,25.07
2010/11,Asian,All,Leicestershire,4037,155740,25.919999999999998
2011/12,Asian,All,Leicestershire,1887,155740,12.12
2012/13,Asian,All,Leicestershire,1033,155740,6.63
2013/14,Asian,All,Leicestershire,762,155740,4.89
2014/15,Asian,All,Leicestershire,530,155740,3.4
2015/16,Asian,All,Leicestershire,302,155740,1.94
2016/17,Asian,All,Leicestershire,134,155740,0.8600000000000001
2017/18,Asian,All,Leicestershire,216,155740,1.3900000000000001
2018/19,Asian,All,Leicestershire,332,155740,2.13
2019/20,Asian,All,Leicestershire,526,163612,3.21
2006/07,Asian,All,Lincolnshire,54,5579,9.68
2007/08,Asian,All,Lincolnshire,63,5579,11.29
2008/09,Asian,All,Lincolnshire,94,5579,16.85
2009/10,Asian,All,Lincolnshire,70,5579,12.55
2010/11,Asian,All,Lincolnshire,63,5579,11.29
2011/12,Asian,All,Lincolnshire,55,5579,9.860000000000001
2012/13,Asian,All,Lincolnshire,45,5579,8.07
2013/14,Asian,All,Lincolnshire,54,5579,9.68
2014/15,Asian,All,Lincolnshire,23,5579,4.119999999999999
2015/16,Asian,All,Lincolnshire,17,5579,3.05
2016/17,Asian,All,Lincolnshire,14,5579,2.51
2017/18,Asian,All,Lincolnshire,13,5579,2.3299999999999996
2018/19,Asian,All,Lincolnshire,33,5579,5.92
2019/20,Asian,All,Lincolnshire,47,7316,6.42
2006/07,Asian,All,"London, City of",904,NA,NA
2007/08,Asian,All,"London, City of",1025,NA,NA
2008/09,Asian,All,"London, City of",972,NA,NA
2009/10,Asian,All,"London, City of",784,NA,NA
2010/11,Asian,All,"London, City of",724,NA,NA
2011/12,Asian,All,"London, City of",544,NA,NA
2012/13,Asian,All,"London, City of",449,NA,NA
2013/14,Asian,All,"London, City of",381,NA,NA
2014/15,Asian,All,"London, City of",319,NA,NA
2015/16,Asian,All,"London, City of",232,NA,NA
2016/17,Asian,All,"London, City of",206,NA,NA
2017/18,Asian,All,"London, City of",226,NA,NA
2018/19,Asian,All,"London, City of",257,NA,NA
2019/20,Asian,All,"London, City of",344,NA,NA
2006/07,Asian,All,Merseyside,292,18851,15.49
2007/08,Asian,All,Merseyside,439,18851,23.29
2008/09,Asian,All,Merseyside,476,18851,25.25
2009/10,Asian,All,Merseyside,287,18851,15.219999999999999
2010/11,Asian,All,Merseyside,286,18851,15.17
2011/12,Asian,All,Merseyside,174,18851,9.229999999999999
2012/13,Asian,All,Merseyside,181,18851,9.6
2013/14,Asian,All,Merseyside,267,18851,14.16
2014/15,Asian,All,Merseyside,203,18851,10.77
2015/16,Asian,All,Merseyside,55,18851,2.92
2016/17,Asian,All,Merseyside,85,18851,4.51
2017/18,Asian,All,Merseyside,101,18851,5.359999999999999
2018/19,Asian,All,Merseyside,197,18851,10.450000000000001
2019/20,Asian,All,Merseyside,426,30405,14.01
2006/07,Asian,All,Metropolitan Police,40783,1386619,29.41
2007/08,Asian,All,Metropolitan Police,66762,1386619,48.15
2008/09,Asian,All,Metropolitan Police,110518,1386619,79.7
2009/10,Asian,All,Metropolitan Police,101885,1386619,73.48
2010/11,Asian,All,Metropolitan Police,95901,1386619,69.16
2011/12,Asian,All,Metropolitan Police,81142,1386619,58.52
2012/13,Asian,All,Metropolitan Police,54456,1386619,39.27
2013/14,Asian,All,Metropolitan Police,40594,1386619,29.279999999999998
2014/15,Asian,All,Metropolitan Police,22327,1386619,16.1
2015/16,Asian,All,Metropolitan Police,20589,1386619,14.850000000000001
2016/17,Asian,All,Metropolitan Police,17659,1386619,12.739999999999998
2017/18,Asian,All,Metropolitan Police,18225,1386619,13.139999999999999
2018/19,Asian,All,Metropolitan Police,26213,1386619,18.9
2019/20,Asian,All,Metropolitan Police,38788,1510606,25.68
2006/07,Asian,All,Norfolk,90,9809,9.18
2007/08,Asian,All,Norfolk,201,9809,20.49
2008/09,Asian,All,Norfolk,143,9809,14.58
2009/10,Asian,All,Norfolk,186,9809,18.959999999999997
2010/11,Asian,All,Norfolk,160,9809,16.310000000000002
2011/12,Asian,All,Norfolk,143,9809,14.58
2012/13,Asian,All,Norfolk,258,9809,26.3
2013/14,Asian,All,Norfolk,198,9809,20.19
2014/15,Asian,All,Norfolk,108,9809,11.01
2015/16,Asian,All,Norfolk,126,9809,12.850000000000001
2016/17,Asian,All,Norfolk,51,9809,5.2
2017/18,Asian,All,Norfolk,33,9809,3.36
2018/19,Asian,All,Norfolk,36,9809,3.67
2019/20,Asian,All,Norfolk,56,13017,4.3
2006/07,Asian,All,North Wales,40,6336,6.31
2007/08,Asian,All,North Wales,40,6336,6.31
2008/09,Asian,All,North Wales,48,6336,7.58
2009/10,Asian,All,North Wales,37,6336,5.84
2010/11,Asian,All,North Wales,39,6336,6.159999999999999
2011/12,Asian,All,North Wales,34,6336,5.37
2012/13,Asian,All,North Wales,17,6336,2.68
2013/14,Asian,All,North Wales,31,6336,4.89
2014/15,Asian,All,North Wales,13,6336,2.05
2015/16,Asian,All,North Wales,9,6336,1.42
2016/17,Asian,All,North Wales,10,6336,1.58
2017/18,Asian,All,North Wales,11,6336,1.74
2018/19,Asian,All,North Wales,19,6336,3
2019/20,Asian,All,North Wales,47,8865,5.3
2006/07,Asian,All,North Yorkshire,151,9914,15.229999999999999
2007/08,Asian,All,North Yorkshire,201,9914,20.27
2008/09,Asian,All,North Yorkshire,179,9914,18.06
2009/10,Asian,All,North Yorkshire,204,9914,20.58
2010/11,Asian,All,North Yorkshire,147,9914,14.83
2011/12,Asian,All,North Yorkshire,183,9914,18.459999999999997
2012/13,Asian,All,North Yorkshire,171,9914,17.25
2013/14,Asian,All,North Yorkshire,118,9914,11.9
2014/15,Asian,All,North Yorkshire,177,9914,17.85
2015/16,Asian,All,North Yorkshire,151,9914,15.229999999999999
2016/17,Asian,All,North Yorkshire,87,9914,8.78
2017/18,Asian,All,North Yorkshire,77,9914,7.7700000000000005
2018/19,Asian,All,North Yorkshire,71,9914,7.159999999999999
2019/20,Asian,All,North Yorkshire,73,14096,5.18
2006/07,Asian,All,Northamptonshire,479,22581,21.21
2007/08,Asian,All,Northamptonshire,518,22581,22.939999999999998
2008/09,Asian,All,Northamptonshire,378,22581,16.74
2009/10,Asian,All,Northamptonshire,559,22581,24.759999999999998
2010/11,Asian,All,Northamptonshire,595,22581,26.35
2011/12,Asian,All,Northamptonshire,359,22581,15.9
2012/13,Asian,All,Northamptonshire,301,22581,13.33
2013/14,Asian,All,Northamptonshire,331,22581,14.66
2014/15,Asian,All,Northamptonshire,165,22581,7.31
2015/16,Asian,All,Northamptonshire,89,22581,3.94
2016/17,Asian,All,Northamptonshire,53,22581,2.3499999999999996
2017/18,Asian,All,Northamptonshire,67,22581,2.9699999999999998
2018/19,Asian,All,Northamptonshire,110,22581,4.87
2019/20,Asian,All,Northamptonshire,114,25427,4.48
2006/07,Asian,All,Northumbria,322,37782,8.52
2007/08,Asian,All,Northumbria,440,37782,11.65
2008/09,Asian,All,Northumbria,520,37782,13.76
2009/10,Asian,All,Northumbria,710,37782,18.79
2010/11,Asian,All,Northumbria,864,37782,22.87
2011/12,Asian,All,Northumbria,832,37782,22.02
2012/13,Asian,All,Northumbria,633,37782,16.75
2013/14,Asian,All,Northumbria,809,37782,21.41
2014/15,Asian,All,Northumbria,441,37782,11.67
2015/16,Asian,All,Northumbria,215,37782,5.6899999999999995
2016/17,Asian,All,Northumbria,129,37782,3.4099999999999997
2017/18,Asian,All,Northumbria,144,37782,3.8099999999999996
2018/19,Asian,All,Northumbria,151,37782,4
2019/20,Asian,All,Northumbria,246,47965,5.13
2006/07,Asian,All,Nottinghamshire,410,48248,8.5
2007/08,Asian,All,Nottinghamshire,254,48248,5.26
2008/09,Asian,All,Nottinghamshire,239,48248,4.95
2009/10,Asian,All,Nottinghamshire,334,48248,6.92
2010/11,Asian,All,Nottinghamshire,259,48248,5.37
2011/12,Asian,All,Nottinghamshire,246,48248,5.1
2012/13,Asian,All,Nottinghamshire,234,48248,4.85
2013/14,Asian,All,Nottinghamshire,275,48248,5.7
2014/15,Asian,All,Nottinghamshire,185,48248,3.8299999999999996
2015/16,Asian,All,Nottinghamshire,191,48248,3.96
2016/17,Asian,All,Nottinghamshire,117,48248,2.42
2017/18,Asian,All,Nottinghamshire,120,48248,2.4899999999999998
2018/19,Asian,All,Nottinghamshire,188,48248,3.9
2019/20,Asian,All,Nottinghamshire,338,57178,5.91
2006/07,Asian,All,South Wales,378,35804,10.56
2007/08,Asian,All,South Wales,504,35804,14.08
2008/09,Asian,All,South Wales,386,35804,10.78
2009/10,Asian,All,South Wales,352,35804,9.83
2010/11,Asian,All,South Wales,345,35804,9.639999999999999
2011/12,Asian,All,South Wales,344,35804,9.61
2012/13,Asian,All,South Wales,237,35804,6.619999999999999
2013/14,Asian,All,South Wales,312,35804,8.709999999999999
2014/15,Asian,All,South Wales,171,35804,4.78
2015/16,Asian,All,South Wales,165,35804,4.609999999999999
2016/17,Asian,All,South Wales,171,35804,4.78
2017/18,Asian,All,South Wales,272,35804,7.6
2018/19,Asian,All,South Wales,407,35804,11.370000000000001
2019/20,Asian,All,South Wales,692,44299,15.62
2006/07,Asian,All,South Yorkshire,981,54660,17.95
2007/08,Asian,All,South Yorkshire,1239,54660,22.67
2008/09,Asian,All,South Yorkshire,1684,54660,30.810000000000002
2009/10,Asian,All,South Yorkshire,1983,54660,36.28
2010/11,Asian,All,South Yorkshire,1489,54660,27.24
2011/12,Asian,All,South Yorkshire,1034,54660,18.919999999999998
2012/13,Asian,All,South Yorkshire,1040,54660,19.03
2013/14,Asian,All,South Yorkshire,1346,54660,24.62
2014/15,Asian,All,South Yorkshire,691,54660,12.639999999999999
2015/16,Asian,All,South Yorkshire,385,54660,7.04
2016/17,Asian,All,South Yorkshire,245,54660,4.48
2017/18,Asian,All,South Yorkshire,165,54660,3.02
2018/19,Asian,All,South Yorkshire,359,54660,6.57
2019/20,Asian,All,South Yorkshire,811,64211,12.629999999999999
2006/07,Asian,All,Staffordshire,626,35148,17.810000000000002
2007/08,Asian,All,Staffordshire,696,35148,19.8
2008/09,Asian,All,Staffordshire,557,35148,15.850000000000001
2009/10,Asian,All,Staffordshire,451,35148,12.83
2010/11,Asian,All,Staffordshire,643,35148,18.29
2011/12,Asian,All,Staffordshire,1155,35148,32.86
2012/13,Asian,All,Staffordshire,861,35148,24.5
2013/14,Asian,All,Staffordshire,742,35148,21.110000000000003
2014/15,Asian,All,Staffordshire,264,35148,7.51
2015/16,Asian,All,Staffordshire,246,35148,7
2016/17,Asian,All,Staffordshire,320,35148,9.1
2017/18,Asian,All,Staffordshire,275,35148,7.819999999999999
2018/19,Asian,All,Staffordshire,306,35148,8.709999999999999
2019/20,Asian,All,Staffordshire,582,39098,14.89
2006/07,Asian,All,Suffolk,40,10972,3.65
2007/08,Asian,All,Suffolk,77,10972,7.02
2008/09,Asian,All,Suffolk,82,10972,7.470000000000001
2009/10,Asian,All,Suffolk,71,10972,6.470000000000001
2010/11,Asian,All,Suffolk,47,10972,4.28
2011/12,Asian,All,Suffolk,60,10972,5.470000000000001
2012/13,Asian,All,Suffolk,62,10972,5.6499999999999995
2013/14,Asian,All,Suffolk,247,10972,22.51
2014/15,Asian,All,Suffolk,65,10972,5.92
2015/16,Asian,All,Suffolk,60,10972,5.470000000000001
2016/17,Asian,All,Suffolk,64,10972,5.83
2017/18,Asian,All,Suffolk,31,10972,2.8299999999999996
2018/19,Asian,All,Suffolk,42,10972,3.8299999999999996
2019/20,Asian,All,Suffolk,59,13131,4.49
2006/07,Asian,All,Surrey,639,54037,11.83
2007/08,Asian,All,Surrey,769,54037,14.229999999999999
2008/09,Asian,All,Surrey,843,54037,15.6
2009/10,Asian,All,Surrey,737,54037,13.639999999999999
2010/11,Asian,All,Surrey,810,54037,14.99
2011/12,Asian,All,Surrey,928,54037,17.17
2012/13,Asian,All,Surrey,939,54037,17.38
2013/14,Asian,All,Surrey,535,54037,9.9
2014/15,Asian,All,Surrey,656,54037,12.139999999999999
2015/16,Asian,All,Surrey,403,54037,7.46
2016/17,Asian,All,Surrey,350,54037,6.48
2017/18,Asian,All,Surrey,330,54037,6.109999999999999
2018/19,Asian,All,Surrey,481,54037,8.9
2019/20,Asian,All,Surrey,424,63498,6.68
2006/07,Asian,All,Sussex,561,40865,13.729999999999999
2007/08,Asian,All,Sussex,965,40865,23.610000000000003
2008/09,Asian,All,Sussex,818,40865,20.02
2009/10,Asian,All,Sussex,794,40865,19.43
2010/11,Asian,All,Sussex,803,40865,19.650000000000002
2011/12,Asian,All,Sussex,997,40865,24.4
2012/13,Asian,All,Sussex,830,40865,20.310000000000002
2013/14,Asian,All,Sussex,570,40865,13.950000000000001
2014/15,Asian,All,Sussex,371,40865,9.08
2015/16,Asian,All,Sussex,261,40865,6.39
2016/17,Asian,All,Sussex,320,40865,7.83
2017/18,Asian,All,Sussex,272,40865,6.659999999999999
2018/19,Asian,All,Sussex,292,40865,7.1499999999999995
2019/20,Asian,All,Sussex,235,48755,4.819999999999999
2006/07,Asian,All,Thames Valley,2620,192541,13.61
2007/08,Asian,All,Thames Valley,2974,192541,15.450000000000001
2008/09,Asian,All,Thames Valley,3040,192541,15.79
2009/10,Asian,All,Thames Valley,4407,192541,22.89
2010/11,Asian,All,Thames Valley,4557,192541,23.67
2011/12,Asian,All,Thames Valley,2785,192541,14.46
2012/13,Asian,All,Thames Valley,2502,192541,12.99
2013/14,Asian,All,Thames Valley,2304,192541,11.97
2014/15,Asian,All,Thames Valley,2030,192541,10.54
2015/16,Asian,All,Thames Valley,1237,192541,6.42
2016/17,Asian,All,Thames Valley,1037,192541,5.39
2017/18,Asian,All,Thames Valley,722,192541,3.75
2018/19,Asian,All,Thames Valley,986,192541,5.119999999999999
2019/20,Asian,All,Thames Valley,1606,209324,7.67
2006/07,Asian,All,Warwickshire,189,22747,8.31
2007/08,Asian,All,Warwickshire,185,22747,8.129999999999999
2008/09,Asian,All,Warwickshire,202,22747,8.88
2009/10,Asian,All,Warwickshire,331,22747,14.55
2010/11,Asian,All,Warwickshire,268,22747,11.78
2011/12,Asian,All,Warwickshire,166,22747,7.3
2012/13,Asian,All,Warwickshire,279,22747,12.27
2013/14,Asian,All,Warwickshire,241,22747,10.59
2014/15,Asian,All,Warwickshire,161,22747,7.08
2015/16,Asian,All,Warwickshire,173,22747,7.609999999999999
2016/17,Asian,All,Warwickshire,103,22747,4.53
2017/18,Asian,All,Warwickshire,87,22747,3.82
2018/19,Asian,All,Warwickshire,128,22747,5.63
2019/20,Asian,All,Warwickshire,110,25096,4.38
2006/07,Asian,All,West Mercia,515,21715,23.72
2007/08,Asian,All,West Mercia,361,21715,16.62
2008/09,Asian,All,West Mercia,554,21715,25.51
2009/10,Asian,All,West Mercia,636,21715,29.29
2010/11,Asian,All,West Mercia,573,21715,26.39
2011/12,Asian,All,West Mercia,656,21715,30.21
2012/13,Asian,All,West Mercia,776,21715,35.74
2013/14,Asian,All,West Mercia,793,21715,36.52
2014/15,Asian,All,West Mercia,503,21715,23.16
2015/16,Asian,All,West Mercia,528,21715,24.310000000000002
2016/17,Asian,All,West Mercia,312,21715,14.370000000000001
2017/18,Asian,All,West Mercia,333,21715,15.34
2018/19,Asian,All,West Mercia,249,21715,11.47
2019/20,Asian,All,West Mercia,363,25260,14.370000000000001
2006/07,Asian,All,West Midlands,5830,493551,11.81
2007/08,Asian,All,West Midlands,7112,493551,14.41
2008/09,Asian,All,West Midlands,7871,493551,15.950000000000001
2009/10,Asian,All,West Midlands,5792,493551,11.739999999999998
2010/11,Asian,All,West Midlands,5046,493551,10.219999999999999
2011/12,Asian,All,West Midlands,9525,493551,19.3
2012/13,Asian,All,West Midlands,8052,493551,16.310000000000002
2013/14,Asian,All,West Midlands,5975,493551,12.11
2014/15,Asian,All,West Midlands,3526,493551,7.14
2015/16,Asian,All,West Midlands,4006,493551,8.12
2016/17,Asian,All,West Midlands,3093,493551,6.2700000000000005
2017/18,Asian,All,West Midlands,2988,493551,6.05
2018/19,Asian,All,West Midlands,5146,493551,10.43
2019/20,Asian,All,West Midlands,6655,514981,12.92
2006/07,Asian,All,West Yorkshire,8217,280764,29.27
2007/08,Asian,All,West Yorkshire,6898,280764,24.57
2008/09,Asian,All,West Yorkshire,6506,280764,23.17
2009/10,Asian,All,West Yorkshire,6331,280764,22.55
2010/11,Asian,All,West Yorkshire,6177,280764,22
2011/12,Asian,All,West Yorkshire,6249,280764,22.259999999999998
2012/13,Asian,All,West Yorkshire,6185,280764,22.03
2013/14,Asian,All,West Yorkshire,4949,280764,17.630000000000003
2014/15,Asian,All,West Yorkshire,2701,280764,9.62
2015/16,Asian,All,West Yorkshire,2188,280764,7.79
2016/17,Asian,All,West Yorkshire,1697,280764,6.04
2017/18,Asian,All,West Yorkshire,1308,280764,4.659999999999999
2018/19,Asian,All,West Yorkshire,1810,280764,6.45
2019/20,Asian,All,West Yorkshire,3116,291547,10.69
2006/07,Asian,All,Wiltshire,69,17379,3.9699999999999998
2007/08,Asian,All,Wiltshire,80,17379,4.6
2008/09,Asian,All,Wiltshire,63,17379,3.63
2009/10,Asian,All,Wiltshire,105,17379,6.04
2010/11,Asian,All,Wiltshire,134,17379,7.71
2011/12,Asian,All,Wiltshire,79,17379,4.55
2012/13,Asian,All,Wiltshire,129,17379,7.42
2013/14,Asian,All,Wiltshire,151,17379,8.69
2014/15,Asian,All,Wiltshire,90,17379,5.18
2015/16,Asian,All,Wiltshire,97,17379,5.58
2016/17,Asian,All,Wiltshire,73,17379,4.2
2017/18,Asian,All,Wiltshire,40,17379,2.3
2018/19,Asian,All,Wiltshire,56,17379,3.22
2019/20,Asian,All,Wiltshire,74,19543,3.79
2006/07,Black,All,All - excluding BTP,123641,1864890,66.3
2007/08,Black,All,All - excluding BTP,157745,1864890,84.59
2008/09,Black,All,All - excluding BTP,238279,1864890,127.77
2009/10,Black,All,All - excluding BTP,214420,1864890,114.98
2009/10,Black,Section 1,All - excluding BTP,169573,1864890,90.93
2009/10,Black,Section 44/47a,All - excluding BTP,9261,1864890,5.45
2009/10,Black,Section 60,All - excluding BTP,39364,1864890,21.110000000000003
2010/11,Black,All,All - excluding BTP,207051,1864890,111.03
2010/11,Black,Section 1,All - excluding BTP,185806,1864890,99.63
2010/11,Black,Section 44/47a,All - excluding BTP,943,1864890,0.52
2010/11,Black,Section 60,All - excluding BTP,23283,1864890,12.48
2011/12,Black,All,All - excluding BTP,176088,1864890,94.42
2011/12,Black,Section 1,All - excluding BTP,161058,1864890,86.36
2011/12,Black,Section 44/47a,All - excluding BTP,0,1864890,NA
2011/12,Black,Section 60,All - excluding BTP,16791,1864890,9
2012/13,Black,All,All - excluding BTP,120632,1864890,64.69
2012/13,Black,Section 1,All - excluding BTP,119998,1864890,64.35
2012/13,Black,Section 44/47a,All - excluding BTP,0,1864890,NA
2012/13,Black,Section 60,All - excluding BTP,1921,1864890,1.03
2013/14,Black,All,All - excluding BTP,100226,1864890,53.74
2013/14,Black,Section 1,All - excluding BTP,100907,1864890,54.11
2013/14,Black,Section 44/47a,All - excluding BTP,0,1864890,NA
2013/14,Black,Section 60,All - excluding BTP,1126,1864890,0.6
2014/15,Black,All,All - excluding BTP,62892,1864890,33.720000000000006
2014/15,Black,Section 1,All - excluding BTP,63532,1864890,34.07
2014/15,Black,Section 44/47a,All - excluding BTP,0,1864890,NA
2014/15,Black,Section 60,All - excluding BTP,172,1864890,0.09
2015/16,Black,All,All - excluding BTP,58170,1864890,31.19
2015/16,Black,Section 1,All - excluding BTP,58217,1864890,31.22
2015/16,Black,Section 44/47a,All - excluding BTP,0,1864890,NA
2015/16,Black,Section 60,All - excluding BTP,209,1864890,0.11
2016/17,Black,All,All - excluding BTP,54717,1864890,29.34
2016/17,Black,Section 1,All - excluding BTP,54881,1864890,29.43
2016/17,Black,Section 44/47a,All - excluding BTP,0,1864890,NA
2016/17,Black,Section 60,All - excluding BTP,169,1864890,0.09
2017/18,Black,All,All - excluding BTP,53991,1864890,28.95
2017/18,Black,Section 1,All - excluding BTP,53427,1864890,28.650000000000002
2017/18,Black,Section 44/47a,All - excluding BTP,0,1864890,0
2017/18,Black,Section 60,All - excluding BTP,955,1864890,0.51
2018/19,Black,All,All - excluding BTP,69730,1864890,37.39
2018/19,Black,Section 1,All - excluding BTP,65006,1864890,34.86
2018/19,Black,Section 44/47a,All - excluding BTP,0,1864890,0
2018/19,Black,Section 60,All - excluding BTP,4620,1864890,NA
2019/20,Black,All,All - excluding BTP,95643,1864890,51.290000000000006
2019/20,Black,Section 1,All - excluding BTP and Greater Manchester,91059,1790793,48.83
2019/20,Black,Section 44/47a,All - excluding BTP and Greater Manchester,0,1790793,0
2019/20,Black,Section 60,All - excluding BTP and Greater Manchester,4181,1790793,NA
2006/07,Black,All,All - excluding BTP and Greater Manchester,119937,1790793,66.97
2007/08,Black,All,All - excluding BTP and Greater Manchester,154489,1790793,86.27
2008/09,Black,All,All - excluding BTP and Greater Manchester,234065,1790793,130.7
2009/10,Black,All,All - excluding BTP and Greater Manchester,210522,1790793,117.56
2010/11,Black,All,All - excluding BTP and Greater Manchester,203691,1790793,113.74000000000001
2011/12,Black,All,All - excluding BTP and Greater Manchester,173443,1790793,96.85
2012/13,Black,All,All - excluding BTP and Greater Manchester,118971,1790793,66.43
2013/14,Black,All,All - excluding BTP and Greater Manchester,98721,1790793,55.13
2014/15,Black,All,All - excluding BTP and Greater Manchester,62061,1790793,34.660000000000004
2015/16,Black,All,All - excluding BTP and Greater Manchester,57851,1790793,32.3
2016/17,Black,All,All - excluding BTP and Greater Manchester,54503,1790793,30.439999999999998
2017/18,Black,All,All - excluding BTP and Greater Manchester,53748,1790793,30.01
2018/19,Black,All,All - excluding BTP and Greater Manchester,69102,1790793,38.59
2019/20,Black,All,All - excluding BTP and Greater Manchester,95240,1790793,53.18
2009/10,Black,All,All - including BTP,219101,1864890,117.49000000000001
2010/11,Black,All,All - including BTP,210053,1864890,112.64
2011/12,Black,All,All - including BTP,177849,1864890,95.36999999999999
